,REGIONAL,PRODUCTO,MODELO,SCORE_PORC,RMSE,209,210,211,212,213,214,215,216,217,218,219,220
0,SUR,MOTO,DOC,9.5%,2,20,18,17,15,15,14,14,15,16,19,18,19
1,SUR,CUATRIMOTO,HW_13,32.9%,2.9,8,9,9,9,9,9,8,7,10,9,7,9
2,CENTRO,MOTO,THETA,19.5%,4.4,26,23,23,20,20,17,19,17,22,22,26,27
3,CENTRO,CUATRIMOTO,THETA,15.1%,2,13,13,13,13,13,13,13,13,13,13,13,13
4,CENTRO,TRACTOR,SES,29.2%,3.4,10,10,10,10,10,10,10,10,10,10,10,10
5,NORTE,MOTO,HW_13,8.3%,1.4,19,18,17,16,15,14,14,15,16,17,19,20
6,NORTE,CUATRIMOTO,DOC,26.2%,3,10,9,9,9,8,8,9,8,8,10,10,10
7,NORTE,TRACTOR,WA_12,36.7%,1.7,3,3,3,3,3,3,3,3,3,3,3,3
8,CEDI,MOTO,THETA,11.6%,5,46,41,40,36,34,32,33,32,38,41,44,46
9,CEDI,CUATRIMOTO,HW_13,15.1%,3.2,21,21,22,21,20,21,20,20,22,22,20,21
10,CEDI,TRACTOR,SES,29.2%,3.4,10,10,10,10,10,10,10,10,10,10,10,10
11,MOTOTRAK,MOTO,THETA,9.1%,5.7,66,60,57,51,49,45,45,46,54,58,64,67
12,MOTOTRAK,CUATRIMOTO,THETA,15.9%,4.8,32,31,32,31,30,31,31,30,31,34,31,34
13,MOTOTRAK,TRACTOR,SES,23.8%,3.9,13,13,13,13,13,13,13,13,13,13,13,13
