"Turn","MOTO (Product)","CUATRIMOTO (Product)","TRACTOR (Product)"
"1","19","8","8"
"2","12","9","3"
"3","16","7","10"
"4","10","6","6"
"5","10","8","13"
"6","16","5","12"
"7","11","7","10"
"8","5","11","9"
"9","8","8","8"
"10","16","2","15"
"11","15","9","12"
"12","17","8","9"
"13","18","10","12"
"14","12","8","5"
"15","10","10","5"
"16","17","8","12"
"17","12","5","5"
"18","15","8","10"
"19","15","8","7"
"20","9","6","8"
"21","13","11","11"
"22","23","10","4"
"23","13","10","8"
"24","20","5","9"
"25","18","10","7"
"26","19","10","12"
"27","12","8","8"
"28","15","9","11"
"29","14","7","11"
"30","12","10","7"
"31","12","12","7"
"32","18","8","9"
"33","17","8","13"
"34","12","7","14"
"35","23","8","8"
"36","18","7","10"
"37","12","8","7"
"38","13","9","8"
"39","19","10","10"
"40","17","8","11"
"41","23","8","7"
"42","13","9","2"
"43","11","11","10"
"44","10","11","13"
"45","14","7","11"
"46","2","9","13"
"47","13","7","11"
"48","15","10","7"
"49","16","8","10"
"50","20","8","3"
"51","18","11","12"
"52","17","8","6"
"53","18","12","12"
"54","12","8","7"
"55","18","8","10"
"56","17","9","8"
"57","17","8","16"
"58","21","9","13"
"59","14","9","11"
"60","7","12","14"
"61","10","8","11"
"62","10","8","9"
"63","20","5","9"
"64","10","12","18"
"65","15","11","9"
"66","18","7","12"
"67","27","13","12"
"68","19","11","10"
"69","11","9","9"
"70","17","11","15"
"71","13","14","17"
"72","13","11","4"
"73","22","10","11"
"74","16","6","6"
"75","17","7","7"
"76","23","9","14"
"77","22","10","13"
"78","10","10","9"
"79","24","9","2"
"80","17","9","4"
"81","24","9","12"
"82","21","10","2"
"83","15","9","2"
"84","17","7","8"
"85","17","9","9"
"86","21","9","10"
"87","23","10","9"
"88","15","10","6"
"89","17","8","13"
"90","19","8","11"
"91","24","15","6"
"92","20","9","6"
"93","22","11","7"
"94","21","7","10"
"95","11","11","8"
"96","12","11","15"
"97","16","10","16"
"98","14","8","4"
"99","15","9","8"
"100","22","8","12"
"101","26","7","14"
"102","16","9","7"
"103","20","9","10"
"104","24","9","12"
"105","27","9","9"
"106","19","6","3"
"107","20","12","15"
"108","21","11","6"
"109","13","12","7"
"110","17","6","13"
"111","12","9","10"
"112","17","10","16"
"113","20","16","3"
"114","16","9","0"
"115","25","7","4"
"116","25","11","10"
"117","27","12","13"
"118","22","7","12"
"119","9","8","6"
"120","19","11","7"
"121","21","16","8"
"122","23","14","15"
"123","13","15","7"
"124","6","6","6"
"125","15","10","11"
"126","17","10","11"
"127","16","12","13"
"128","19","10","9"
"129","19","9","3"
"130","18","9","13"
"131","20","9","8"
"132","21","8","8"
"133","15","16","12"
"134","22","12","8"
"135","17","14","8"
"136","17","9","15"
"137","16","13","14"
"138","11","12","11"
"139","19","12","8"
"140","29","7","13"
"141","24","12","16"
"142","29","10","16"
"143","30","12","12"
"144","20","11","9"
"145","29","13","8"
"146","24","11","14"
"147","20","9","11"
"148","24","8","11"
"149","20","11","8"
"150","18","9","6"
"151","26","11","10"
"152","21","10","10"
"153","20","12","11"
"154","26","9","7"
"155","30","12","4"
"156","18","10","11"
"157","29","13","11"
"158","26","12","10"
"159","19","15","5"
"160","16","13","13"
"161","20","13","17"
"162","13","10","9"
"163","21","14","7"
"164","16","12","12"
"165","21","11","12"
"166","23","14","12"
"167","20","12","2"
"168","20","13","17"
"169","23","7","8"
"170","23","9","3"
"171","25","11","15"
"172","29","12","6"
"173","17","8","7"
"174","15","12","8"
"175","19","9","12"
"176","16","12","16"
"177","22","14","8"
"178","23","15","11"
"179","22","15","6"
"180","29","11","6"
"181","22","12","11"
"182","22","16","12"
"183","25","10","13"
"184","17","11","10"
"185","20","11","3"
"186","24","12","9"
"187","19","11","10"
"188","17","11","13"
"189","15","11","13"
"190","23","10","13"
"191","21","11","15"
"192","26","12","9"
"193","19","11","9"
"194","17","11","9"
"195","31","12","4"
"196","27","12","18"
"197","21","16","10"
"198","34","9","6"
"199","16","11","11"
"200","22","13","16"
"201","20","10","13"
"202","21","11","9"
"203","29","10","15"
"204","22","15","11"
"205","27","14","8"
"206","27","13","15"
"207","26","12","7"
"208","20","10","12"
