"Turn","MOTO (Product)","CUATRIMOTO (Product)","TRACTOR (Product)"
"1","9","7","4"
"2","8","6","4"
"3","7","6","2"
"4","6","6","1"
"5","8","0","4"
"6","2","7","6"
"7","6","5","4"
"8","7","6","6"
"9","6","0","4"
"10","11","2","7"
"11","6","4","4"
"12","8","4","2"
"13","10","8","3"
"14","9","7","2"
"15","9","9","4"
"16","10","6","5"
"17","7","1","1"
"18","2","0","2"
"19","6","3","4"
"20","7","8","3"
"21","4","0","3"
"22","7","6","1"
"23","9","1","3"
"24","7","4","4"
"25","11","7","4"
"26","10","4","3"
"27","8","4","2"
"28","10","5","0"
"29","9","8","0"
"30","5","6","0"
"31","7","3","1"
"32","7","6","4"
"33","5","3","3"
"34","4","4","5"
"35","7","6","5"
"36","8","8","6"
"37","11","1","2"
"38","14","7","1"
"39","7","7","3"
"40","10","9","2"
"41","12","8","1"
"42","9","1","6"
"43","7","3","5"
"44","6","3","4"
"45","7","3","0"
"46","5","2","1"
"47","7","3","6"
"48","8","7","1"
"49","11","2","5"
"50","8","5","3"
"51","9","11","0"
"52","10","2","5"
"53","12","3","3"
"54","11","8","4"
"55","11","8","8"
"56","8","0","1"
"57","7","3","7"
"58","8","6","4"
"59","8","9","4"
"60","7","8","4"
"61","11","2","5"
"62","8","9","3"
"63","12","8","3"
"64","11","2","5"
"65","12","10","2"
"66","11","9","3"
"67","11","5","1"
"68","11","1","1"
"69","7","5","4"
"70","6","5","3"
"71","6","0","1"
"72","7","3","2"
"73","9","9","3"
"74","7","4","2"
"75","11","7","7"
"76","12","7","2"
"77","13","4","4"
"78","14","3","9"
"79","11","8","1"
"80","11","7","2"
"81","11","7","3"
"82","9","8","2"
"83","8","3","3"
"84","9","2","3"
"85","9","9","3"
"86","10","6","6"
"87","10","6","2"
"88","9","7","6"
"89","15","6","4"
"90","14","11","5"
"91","14","13","5"
"92","14","9","3"
"93","13","19","1"
"94","13","9","5"
"95","13","6","5"
"96","10","9","4"
"97","10","12","1"
"98","8","7","4"
"99","13","1","3"
"100","10","3","5"
"101","12","7","3"
"102","12","9","1"
"103","15","9","4"
"104","15","6","1"
"105","14","9","1"
"106","14","5","5"
"107","11","8","0"
"108","13","6","4"
"109","9","6","6"
"110","7","10","2"
"111","10","3","1"
"112","8","11","0"
"113","11","3","7"
"114","12","6","0"
"115","13","8","5"
"116","13","5","0"
"117","13","13","4"
"118","14","11","1"
"119","14","13","3"
"120","12","6","8"
"121","11","7","2"
"122","13","14","5"
"123","9","7","4"
"124","9","6","1"
"125","9","12","7"
"126","11","7","1"
"127","13","6","1"
"128","12","11","6"
"129","17","5","8"
"130","17","11","2"
"131","13","8","3"
"132","13","10","3"
"133","13","8","3"
"134","12","6","4"
"135","13","4","3"
"136","9","4","5"
"137","11","4","4"
"138","8","4","3"
"139","11","6","4"
"140","15","6","4"
"141","11","8","3"
"142","12","3","9"
"143","16","5","1"
"144","15","11","0"
"145","14","14","2"
"146","13","6","5"
"147","14","7","3"
"148","11","8","4"
"149","13","6","5"
"150","11","7","1"
"151","12","8","7"
"152","11","11","0"
"153","13","9","3"
"154","11","6","4"
"155","17","12","3"
"156","17","6","5"
"157","13","9","4"
"158","16","9","7"
"159","14","8","4"
"160","14","7","3"
"161","10","4","6"
"162","13","7","2"
"163","12","3","4"
"164","13","3","7"
"165","14","8","3"
"166","16","6","2"
"167","15","9","2"
"168","19","10","3"
"169","17","7","6"
"170","18","11","0"
"171","16","4","6"
"172","16","11","2"
"173","16","15","3"
"174","13","7","3"
"175","11","4","0"
"176","12","3","6"
"177","13","14","4"
"178","15","7","4"
"179","12","11","4"
"180","16","16","0"
"181","18","10","6"
"182","14","9","6"
"183","17","12","5"
"184","17","12","2"
"185","15","4","6"
"186","13","11","2"
"187","13","3","4"
"188","17","9","5"
"189","11","6","1"
"190","12","11","3"
"191","15","6","4"
"192","15","10","1"
"193","15","15","6"
"194","19","14","1"
"195","20","11","1"
"196","20","15","5"
"197","17","10","2"
"198","15","11","4"
"199","15","7","4"
"200","12","13","2"
"201","17","15","4"
"202","15","7","6"
"203","16","12","4"
"204","15","6","2"
"205","19","5","4"
"206","18","11","2"
"207","21","11","3"
"208","20","9","2"
