category,Internal storage,External storage
CUARTO LADRILLO AZUL,512,0
MEDIO LADRILLO AZUL,1883,0
LADRILLO COMPLETO AZUL,3425,0
LADRILLO TRIANGULAR AZUL,1182,0
DINTEL SIMPLE AMARILLO,1058,0
DINTEL DOBLE AMARILLO,1057,0
BLOQUE REDONDO SENCILLO AMARILLO,1097,0
BLOQUE REDONDO MACHO-MACHO AMARILLO,1982,0
BLOQUE REDONDO HEMBRA-HEMBRA AMARILLO,1086,0
PIÑON GRANDE AMARILLO,628,0
VIGA SIMPLE GRIS,4500,0
VIGA DOBLE GRIS,838,0
VIGA TRIPLE GRIS,1035,0
BLOQUE DE EJES NEGRO,2942,0
COLUMNA NEGRA,988,0
ESLABON DE ORUGA NEGRO,21756,0
PIN TRIPLE AZUL,1194,0
PIN DOBLE AZUL,1983,0
PIN SIMPLE AZUL,641,0
TOPE DE EJE AMARILLO,1484,0
EJE HEXAGONAL 6.5 CM,1073,0
MEDIO BLOQUE REDONDEO AMARILLO,597,0
PIÑON PEQUEÑO AMARILLO,1323,0
EJE HEXAGONAL 10 CM,856,0
DINTEL TRIPLE AMARILLO,269,0
