"Turn","MOTO (Product)","CUATRIMOTO (Product)"
"1","15","15"
"2","16","12"
"3","16","12"
"4","10","14"
"5","11","8"
"6","12","9"
"7","13","11"
"8","7","10"
"9","14","3"
"10","13","13"
"11","14","6"
"12","16","13"
"13","17","6"
"14","14","15"
"15","13","9"
"16","11","8"
"17","11","14"
"18","10","7"
"19","9","10"
"20","12","5"
"21","10","7"
"22","11","10"
"23","16","7"
"24","16","3"
"25","17","11"
"26","16","6"
"27","16","8"
"28","16","10"
"29","13","4"
"30","14","11"
"31","13","10"
"32","13","8"
"33","12","9"
"34","11","2"
"35","13","9"
"36","11","14"
"37","14","9"
"38","19","7"
"39","18","11"
"40","17","3"
"41","17","10"
"42","12","6"
"43","13","10"
"44","13","15"
"45","15","12"
"46","11","17"
"47","12","8"
"48","16","13"
"49","14","13"
"50","15","5"
"51","16","10"
"52","20","7"
"53","16","6"
"54","15","8"
"55","15","10"
"56","11","8"
"57","10","8"
"58","13","12"
"59","11","8"
"60","13","10"
"61","16","8"
"62","16","9"
"63","13","8"
"64","15","14"
"65","18","7"
"66","13","10"
"67","12","7"
"68","14","8"
"69","11","5"
"70","9","8"
"71","10","6"
"72","13","13"
"73","12","8"
"74","15","5"
"75","12","8"
"76","15","11"
"77","16","17"
"78","18","14"
"79","16","7"
"80","19","11"
"81","15","10"
"82","17","8"
"83","11","8"
"84","11","11"
"85","13","11"
"86","11","9"
"87","12","13"
"88","17","13"
"89","15","15"
"90","18","6"
"91","19","8"
"92","16","14"
"93","17","12"
"94","16","5"
"95","13","10"
"96","13","6"
"97","18","8"
"98","15","6"
"99","14","11"
"100","16","8"
"101","16","7"
"102","18","4"
"103","16","12"
"104","20","9"
"105","17","7"
"106","16","8"
"107","14","8"
"108","14","15"
"109","17","9"
"110","11","7"
"111","14","12"
"112","14","10"
"113","17","6"
"114","18","11"
"115","18","11"
"116","19","12"
"117","20","14"
"118","15","10"
"119","17","6"
"120","13","10"
"121","13","7"
"122","14","9"
"123","14","7"
"124","10","7"
"125","13","2"
"126","12","9"
"127","17","7"
"128","14","9"
"129","20","11"
"130","18","8"
"131","19","1"
"132","15","9"
"133","16","8"
"134","15","10"
"135","13","14"
"136","13","8"
"137","14","6"
"138","14","10"
"139","16","7"
"140","14","11"
"141","18","10"
"142","16","7"
"143","21","15"
"144","16","13"
"145","17","11"
"146","21","10"
"147","16","11"
"148","16","9"
"149","16","12"
"150","12","10"
"151","12","13"
"152","14","10"
"153","16","9"
"154","18","11"
"155","18","8"
"156","15","9"
"157","20","8"
"158","19","13"
"159","12","8"
"160","15","11"
"161","15","1"
"162","13","8"
"163","15","4"
"164","15","4"
"165","18","11"
"166","18","3"
"167","17","10"
"168","17","5"
"169","18","10"
"170","18","11"
"171","20","5"
"172","17","17"
"173","16","6"
"174","13","11"
"175","15","7"
"176","8","11"
"177","17","10"
"178","16","14"
"179","19","12"
"180","18","6"
"181","20","10"
"182","18","2"
"183","16","10"
"184","17","4"
"185","18","9"
"186","17","11"
"187","16","10"
"188","17","11"
"189","15","8"
"190","15","14"
"191","16","11"
"192","15","13"
"193","19","9"
"194","18","8"
"195","21","14"
"196","20","12"
"197","14","7"
"198","17","4"
"199","14","8"
"200","13","11"
"201","16","9"
"202","14","10"
"203","15","10"
"204","18","10"
"205","17","10"
"206","16","5"
"207","20","12"
"208","19","10"
